C (48)Ca+(206)Pb -> (254)No                                               
H:  X  Y  '253No  '
C 253No  
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.352E-20;  30.7  0.233E-18;
H:  X  Y  '247Cf  '
C 247Cf  
  50.4  0.108E-11;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:  X  Y  '246Cf  '
C 246Cf  
  50.4  0.112E-09;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.721E-10;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.721E-10;  30.7  0.230E-09;
H:  X  Y  '245Cf  '
C 245Cf  
  50.4  0.762E-08;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.194E-12;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.194E-12;  30.7  0.254E-11;
H:  X  Y  '249Bk  '
C 249Bk  
  50.4  0.392E-35;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:  X  Y  '247Bk  '
C 247Bk  
  50.4  0.816E-19;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:  X  Y  '246Bk  '
C 246Bk  
  50.4  0.412E-22;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:  X  Y  '245Bk  '
C 245Bk  
  50.4  0.184E-11;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.642E-19;
H:  X  Y  '244Bk  '
C 244Bk  
  50.4  0.424E-12;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:   X Y  'SIGFUS'
C EXCIT VS SIGFUS(MB)
  50.4  0.233E+03;  19.8  0.672E+00;  23.6  0.656E+01;  25.6  0.151E+02;
  28.9  0.389E+02;  19.8  0.672E+00;  20.4  0.108E+01;  23.0  0.499E+01;
  23.3  0.562E+01;  23.3  0.584E+01;  23.6  0.656E+01;  24.2  0.846E+01;
  25.2  0.130E+02;  25.6  0.151E+02;  28.9  0.389E+02;  30.7  0.571E+02;
H:   X Y  'SIGER'
C EXCIT VS SIGEVA(MB)
  50.4  0.133E-05;  19.8  0.286E-03;  23.6  0.119E-02;  25.6  0.833E-03;
  28.9  0.337E-03;  19.8  0.286E-03;  20.4  0.427E-03;  23.0  0.125E-02;
  23.3  0.126E-02;  23.3  0.124E-02;  23.6  0.119E-02;  24.2  0.123E-02;
  25.2  0.995E-03;  25.6  0.833E-03;  28.9  0.337E-03;  30.7  0.320E-03;
H:   X Y 'SIGFISS'
C EXCIT VS SIGFISS(MB)
  50.4  0.233E+03;  19.8  0.671E+00;  23.6  0.656E+01;  25.6  0.151E+02;
  28.9  0.389E+02;  19.8  0.671E+00;  20.4  0.108E+01;  23.0  0.499E+01;
  23.3  0.562E+01;  23.3  0.584E+01;  23.6  0.656E+01;  24.2  0.846E+01;
  25.2  0.130E+02;  25.6  0.151E+02;  28.9  0.389E+02;  30.7  0.571E+02;
H: X Y  'No  '
  50.4  0.562E-06;  19.8  0.285E-03;  23.6  0.118E-02;  25.6  0.823E-03;
  28.9  0.314E-03;  19.8  0.285E-03;  20.4  0.424E-03;  23.0  0.124E-02;
  23.3  0.125E-02;  23.3  0.124E-02;  23.6  0.118E-02;  24.2  0.122E-02;
  25.2  0.986E-03;  25.6  0.823E-03;  28.9  0.314E-03;  30.7  0.298E-03;
H: X Y  'Md  '
  50.4  0.380E-06;  19.8  0.111E-05;  23.6  0.348E-05;  25.6  0.667E-05;
  28.9  0.141E-04;  19.8  0.111E-05;  20.4  0.145E-05;  23.0  0.305E-05;
  23.3  0.313E-05;  23.3  0.321E-05;  23.6  0.348E-05;  24.2  0.402E-05;
  25.2  0.574E-05;  25.6  0.667E-05;  28.9  0.141E-04;  30.7  0.121E-04;
H: X Y  'Fm  '
  50.4  0.366E-06;  19.8  0.402E-06;  23.6  0.228E-05;  25.6  0.387E-05;
  28.9  0.869E-05;  19.8  0.402E-06;  20.4  0.606E-06;  23.0  0.200E-05;
  23.3  0.209E-05;  23.3  0.212E-05;  23.6  0.228E-05;  24.2  0.267E-05;
  25.2  0.352E-05;  25.6  0.387E-05;  28.9  0.869E-05;  30.7  0.951E-05;
H: X Y  'Es  '
  50.4  0.181E-07;  19.8  0.785E-15;  23.6  0.168E-11;  25.6  0.187E-10;
  28.9  0.295E-09;  19.8  0.785E-15;  20.4  0.570E-14;  23.0  0.739E-12;
  23.3  0.103E-11;  23.3  0.122E-11;  23.6  0.168E-11;  24.2  0.340E-11;
  25.2  0.118E-10;  25.6  0.187E-10;  28.9  0.295E-09;  30.7  0.925E-09;
H: X Y  'Cf  '
  50.4  0.774E-08;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.723E-10;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.723E-10;  30.7  0.232E-09;
H: X Y  'Bk  '
  50.4  0.226E-11;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.642E-19;
C   QC= -152.73    AT/ACN=   0.8110    NEXC=  16
C RESC  X0  152.734  X1  1.       FROM 1    SHIFT TO ECM
C RESC  X0  188.323  X1   1.23301 FROM 1    SHIFT TO ELAB
C RESC  X0    3.923  X1  0.025688 FROM 1    SHIFT TO MEV/U
H:  X  Y  '253No  '
C 253No  
  36.6  0.000E+00;  40.0  0.000E+00;  41.2  0.000E+00;  43.9  0.000E+00;
  23.6  0.188E-04;  28.9  0.420E-06;  30.7  0.000E+00;  36.6  0.000E+00;
  40.0  0.000E+00;  41.2  0.000E+00;  43.9  0.000E+00;  40.0  0.000E+00;
  41.2  0.000E+00;  43.9  0.000E+00;
H:  X  Y  '252No  '
C 252No  
  36.6  0.860E-06;  40.0  0.466E-07;  41.2  0.000E+00;  43.9  0.000E+00;
  23.6  0.116E-02;  28.9  0.190E-03;  30.7  0.608E-04;  36.6  0.860E-06;
  40.0  0.466E-07;  41.2  0.000E+00;  43.9  0.000E+00;  40.0  0.466E-07;
  41.2  0.000E+00;  43.9  0.000E+00;
H:  X  Y  '251No  '
C 251No  
  36.6  0.581E-04;  40.0  0.101E-04;  41.2  0.516E-05;  43.9  0.977E-06;
  23.6  0.554E-07;  28.9  0.123E-03;  30.7  0.237E-03;  36.6  0.581E-04;
  40.0  0.101E-04;  41.2  0.516E-05;  43.9  0.977E-06;  40.0  0.101E-04;
  41.2  0.516E-05;  43.9  0.977E-06;
H:  X  Y  '250No  '
C 250No  
  36.6  0.228E-05;  40.0  0.612E-05;  41.2  0.591E-05;  43.9  0.390E-05;
  23.6  0.000E+00;  28.9  0.000E+00;  30.7  0.539E-09;  36.6  0.228E-05;
  40.0  0.612E-05;  41.2  0.591E-05;  43.9  0.390E-05;  40.0  0.612E-05;
  41.2  0.591E-05;  43.9  0.390E-05;
H:  X  Y  '249No  '
C 249No  
  36.6  0.000E+00;  40.0  0.293E-10;  41.2  0.301E-09;  43.9  0.114E-07;
  23.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;  36.6  0.000E+00;
  40.0  0.293E-10;  41.2  0.301E-09;  43.9  0.114E-07;  40.0  0.293E-10;
  41.2  0.301E-09;  43.9  0.114E-07;
H:  X  Y  '253Md  '
C 253Md  
  36.6  0.898E-09;  40.0  0.000E+00;  41.2  0.000E+00;  43.9  0.000E+00;
  23.6  0.213E-05;  28.9  0.290E-06;  30.7  0.919E-07;  36.6  0.898E-09;
  40.0  0.000E+00;  41.2  0.000E+00;  43.9  0.000E+00;  40.0  0.000E+00;
  41.2  0.000E+00;  43.9  0.000E+00;
H:  X  Y  '252Md  '
C 252Md  
  36.6  0.881E-06;  40.0  0.111E-06;  41.2  0.542E-07;  43.9  0.828E-08;
  23.6  0.135E-05;  28.9  0.137E-04;  30.7  0.114E-04;  36.6  0.881E-06;
  40.0  0.111E-06;  41.2  0.542E-07;  43.9  0.828E-08;  40.0  0.111E-06;
  41.2  0.542E-07;  43.9  0.828E-08;
H:  X  Y  '251Md  '
C 251Md  
  36.6  0.382E-05;  40.0  0.235E-05;  41.2  0.171E-05;  43.9  0.599E-06;
  23.6  0.000E+00;  28.9  0.102E-06;  30.7  0.537E-06;  36.6  0.382E-05;
  40.0  0.235E-05;  41.2  0.171E-05;  43.9  0.599E-06;  40.0  0.235E-05;
  41.2  0.171E-05;  43.9  0.599E-06;
H:  X  Y  '250Md  '
C 250Md  
  36.6  0.307E-08;  40.0  0.664E-07;  41.2  0.127E-06;  43.9  0.350E-06;
  23.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;  36.6  0.307E-08;
  40.0  0.664E-07;  41.2  0.127E-06;  43.9  0.350E-06;  40.0  0.664E-07;
  41.2  0.127E-06;  43.9  0.350E-06;
H:  X  Y  '249Md  '
C 249Md  
  36.6  0.000E+00;  40.0  0.000E+00;  41.2  0.685E-12;  43.9  0.631E-10;
  23.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;  36.6  0.000E+00;
  40.0  0.000E+00;  41.2  0.685E-12;  43.9  0.631E-10;  40.0  0.000E+00;
  41.2  0.685E-12;  43.9  0.631E-10;
H:  X  Y  '252Fm  '
C 252Fm  
  36.6  0.287E-08;  40.0  0.157E-08;  41.2  0.112E-08;  43.9  0.386E-09;
  23.6  0.206E-11;  28.9  0.337E-09;  30.7  0.960E-09;  36.6  0.287E-08;
  40.0  0.157E-08;  41.2  0.112E-08;  43.9  0.386E-09;  40.0  0.157E-08;
  41.2  0.112E-08;  43.9  0.386E-09;
H:  X  Y  '251Fm  '
C 251Fm  
  36.6  0.133E-08;  40.0  0.454E-08;  41.2  0.576E-08;  43.9  0.720E-08;
  23.6  0.000E+00;  28.9  0.553E-12;  30.7  0.109E-10;  36.6  0.133E-08;
  40.0  0.454E-08;  41.2  0.576E-08;  43.9  0.720E-08;  40.0  0.454E-08;
  41.2  0.576E-08;  43.9  0.720E-08;
H:  X  Y  '250Fm  '
C 250Fm  
  36.6  0.266E-08;  40.0  0.000E+00;  41.2  0.000E+00;  43.9  0.719E-10;
